speech,noise
D13_881.wav,noise-free-sound-0634.wav
B11_361.wav,noise-free-sound-0016.wav
B22_268.wav,noise-free-sound-0555.wav
D11_909.wav,noise-free-sound-0324.wav
A33_41.wav,noise-free-sound-0049.wav
B33_386.wav,noise-free-sound-0720.wav
D7_935.wav,noise-free-sound-0097.wav
C8_531.wav,noise-free-sound-0011.wav
A13_61.wav,noise-free-sound-0146.wav
A19_203.wav,noise-free-sound-0250.wav
C23_662.wav,noise-free-sound-0539.wav
D31_861.wav,noise-free-sound-0213.wav
B7_328.wav,noise-free-sound-0591.wav
A7_13.wav,noise-free-sound-0661.wav
B31_348.wav,noise-free-sound-0434.wav
D6_983.wav,noise-free-sound-0534.wav
A23_75.wav,noise-free-sound-0007.wav
A7_66.wav,noise-free-sound-0301.wav
C13_745.wav,noise-free-sound-0415.wav
C7_554.wav,noise-free-sound-0479.wav
C8_713.wav,noise-free-sound-0167.wav
C20_612.wav,noise-free-sound-0036.wav
A32_229.wav,noise-free-sound-0115.wav
B32_347.wav,noise-free-sound-0479.wav
A2_185.wav,noise-free-sound-0643.wav
D21_937.wav,noise-free-sound-0825.wav
D13_873.wav,noise-free-sound-0823.wav
D8_829.wav,noise-free-sound-0258.wav
C7_561.wav,noise-free-sound-0550.wav
D6_985.wav,noise-free-sound-0711.wav
C22_615.wav,noise-free-sound-0811.wav
A23_79.wav,noise-free-sound-0107.wav
B12_314.wav,noise-free-sound-0319.wav
C22_511.wav,noise-free-sound-0526.wav
D31_935.wav,noise-free-sound-0726.wav
B6_320.wav,noise-free-sound-0270.wav
D7_979.wav,noise-free-sound-0720.wav
D8_853.wav,noise-free-sound-0211.wav
D32_820.wav,noise-free-sound-0530.wav
A35_4.wav,noise-free-sound-0493.wav
A13_53.wav,noise-free-sound-0645.wav
A14_104.wav,noise-free-sound-0362.wav
C19_619.wav,noise-free-sound-0792.wav
A6_69.wav,noise-free-sound-0481.wav
C18_674.wav,noise-free-sound-0598.wav
A8_55.wav,noise-free-sound-0766.wav
A36_81.wav,noise-free-sound-0321.wav
A14_3.wav,noise-free-sound-0246.wav
A7_37.wav,noise-free-sound-0830.wav
C22_533.wav,noise-free-sound-0066.wav
A34_223.wav,noise-free-sound-0513.wav
D12_861.wav,buccaneer.wav
B32_311.wav,noise-free-sound-0600.wav
D7_992.wav,noise-free-sound-0358.wav
A8_126.wav,noise-free-sound-0413.wav
A4_166.wav,noise-free-sound-0105.wav
B8_442.wav,noise-free-sound-0094.wav
B12_442.wav,noise-free-sound-0239.wav
A13_80.wav,noise-free-sound-0579.wav
C31_729.wav,noise-free-sound-0253.wav
C17_600.wav,noise-free-sound-0094.wav
B12_323.wav,noise-free-sound-0523.wav
C14_669.wav,noise-free-sound-0278.wav
D4_766.wav,noise-free-sound-0459.wav
D12_843.wav,noise-free-sound-0627.wav
A14_50.wav,noise-free-sound-0729.wav
D7_821.wav,noise-free-sound-0771.wav
C2_578.wav,noise-free-sound-0822.wav
C32_573.wav,noise-free-sound-0268.wav
C6_665.wav,noise-free-sound-0123.wav
B12_338.wav,noise-free-sound-0738.wav
A32_63.wav,noise-free-sound-0802.wav
D6_781.wav,noise-free-sound-0205.wav
B22_393.wav,noise-free-sound-0181.wav
B11_485.wav,noise-free-sound-0494.wav
B8_281.wav,noise-free-sound-0029.wav
C20_743.wav,noise-free-sound-0183.wav
A22_140.wav,noise-free-sound-0329.wav
A23_64.wav,noise-free-sound-0189.wav
D11_852.wav,noise-free-sound-0714.wav
B15_370.wav,noise-free-sound-0426.wav
B15_291.wav,noise-free-sound-0035.wav
C4_556.wav,noise-free-sound-0368.wav
C20_744.wav,noise-free-sound-0444.wav
C19_518.wav,noise-free-sound-0378.wav
D12_789.wav,noise-free-sound-0292.wav
A13_7.wav,noise-free-sound-0539.wav
C20_707.wav,noise-free-sound-0612.wav
D7_923.wav,noise-free-sound-0497.wav
A12_122.wav,noise-free-sound-0229.wav
D32_961.wav,noise-free-sound-0252.wav
B32_315.wav,noise-free-sound-0189.wav
D11_870.wav,noise-free-sound-0574.wav
C18_587.wav,noise-free-sound-0669.wav
C22_508.wav,noise-free-sound-0069.wav
A22_119.wav,noise-free-sound-0395.wav
C8_672.wav,noise-free-sound-0370.wav
C21_597.wav,noise-free-sound-0628.wav
C18_549.wav,noise-free-sound-0100.wav
D31_785.wav,noise-free-sound-0346.wav
C17_655.wav,noise-free-sound-0263.wav
A22_131.wav,noise-free-sound-0749.wav
A7_138.wav,noise-free-sound-0663.wav
A7_45.wav,noise-free-sound-0497.wav
D21_862.wav,noise-free-sound-0700.wav
B8_404.wav,noise-free-sound-0418.wav
A32_60.wav,noise-free-sound-0779.wav
D31_827.wav,noise-free-sound-0733.wav
D12_826.wav,noise-free-sound-0150.wav
D12_882.wav,noise-free-sound-0146.wav
D31_840.wav,noise-free-sound-0051.wav
A36_64.wav,noise-free-sound-0078.wav
B32_494.wav,noise-free-sound-0413.wav
C20_675.wav,noise-free-sound-0824.wav
C6_549.wav,noise-free-sound-0704.wav
A8_117.wav,noise-free-sound-0761.wav
B33_325.wav,noise-free-sound-0059.wav
D8_982.wav,noise-free-sound-0143.wav
A32_176.wav,noise-free-sound-0818.wav
C20_630.wav,noise-free-sound-0372.wav
C4_701.wav,noise-free-sound-0209.wav
D21_863.wav,noise-free-sound-0383.wav
A11_43.wav,noise-free-sound-0287.wav
D4_994.wav,noise-free-sound-0199.wav
D31_835.wav,noise-free-sound-0188.wav
A19_203.wav,noise-free-sound-0623.wav
B15_454.wav,noise-free-sound-0794.wav
A32_80.wav,noise-free-sound-0236.wav
A11_10.wav,noise-free-sound-0535.wav
C22_696.wav,noise-free-sound-0081.wav
D8_788.wav,noise-free-sound-0640.wav
A2_46.wav,noise-free-sound-0567.wav
C17_649.wav,noise-free-sound-0824.wav
A13_246.wav,noise-free-sound-0807.wav
C20_562.wav,noise-free-sound-0124.wav
B22_323.wav,noise-free-sound-0463.wav
B33_325.wav,noise-free-sound-0313.wav
D13_949.wav,noise-free-sound-0405.wav
A34_103.wav,noise-free-sound-0555.wav
A14_249.wav,noise-free-sound-0151.wav
A11_195.wav,noise-free-sound-0473.wav
B22_461.wav,noise-free-sound-0499.wav
A32_204.wav,noise-free-sound-0753.wav
A22_52.wav,noise-free-sound-0690.wav
A34_244.wav,noise-free-sound-0509.wav
B15_355.wav,noise-free-sound-0307.wav
A6_131.wav,noise-free-sound-0673.wav
B8_481.wav,noise-free-sound-0585.wav
C12_640.wav,noise-free-sound-0265.wav
A6_210.wav,noise-free-sound-0651.wav
A13_142.wav,noise-free-sound-0188.wav
D11_881.wav,noise-free-sound-0706.wav
A7_99.wav,noise-free-sound-0417.wav
D32_831.wav,noise-free-sound-0311.wav
C19_549.wav,noise-free-sound-0378.wav
D31_990.wav,noise-free-sound-0355.wav
A34_119.wav,noise-free-sound-0157.wav
C4_676.wav,noise-free-sound-0687.wav
D4_865.wav,noise-free-sound-0266.wav
D12_882.wav,noise-free-sound-0450.wav
B15_336.wav,noise-free-sound-0444.wav
A13_45.wav,noise-free-sound-0513.wav
B11_340.wav,noise-free-sound-0336.wav
A33_82.wav,noise-free-sound-0301.wav
D13_908.wav,noise-free-sound-0191.wav
C13_512.wav,noise-free-sound-0314.wav
C8_702.wav,noise-free-sound-0568.wav
A14_112.wav,noise-free-sound-0329.wav
C21_637.wav,noise-free-sound-0610.wav
C18_582.wav,noise-free-sound-0187.wav
A32_17.wav,noise-free-sound-0489.wav
C20_515.wav,noise-free-sound-0430.wav
C22_747.wav,noise-free-sound-0345.wav
C22_568.wav,noise-free-sound-0303.wav
C6_748.wav,noise-free-sound-0727.wav
A8_224.wav,noise-free-sound-0574.wav
B33_250.wav,noise-free-sound-0222.wav
A4_113.wav,noise-free-sound-0230.wav
C13_605.wav,noise-free-sound-0708.wav
B15_425.wav,noise-free-sound-0637.wav
A23_122.wav,noise-free-sound-0331.wav
D11_777.wav,noise-free-sound-0169.wav
A32_71.wav,noise-free-sound-0623.wav
C14_677.wav,noise-free-sound-0760.wav
D6_926.wav,noise-free-sound-0598.wav
D8_988.wav,noise-free-sound-0083.wav
D6_929.wav,noise-free-sound-0472.wav
B4_351.wav,noise-free-sound-0172.wav
C32_730.wav,noise-free-sound-0288.wav
A34_5.wav,noise-free-sound-0091.wav
C14_527.wav,noise-free-sound-0769.wav
C7_521.wav,noise-free-sound-0181.wav
A22_104.wav,noise-free-sound-0583.wav
B4_467.wav,noise-free-sound-0440.wav
A19_11.wav,noise-free-sound-0409.wav
D4_875.wav,noise-free-sound-0765.wav
B7_492.wav,noise-free-sound-0229.wav
C23_603.wav,noise-free-sound-0833.wav
A34_107.wav,noise-free-sound-0070.wav
A2_243.wav,noise-free-sound-0390.wav
A14_200.wav,noise-free-sound-0413.wav
A36_171.wav,noise-free-sound-0018.wav
D6_910.wav,noise-free-sound-0369.wav
C14_551.wav,noise-free-sound-0288.wav
D6_777.wav,noise-free-sound-0350.wav
C17_698.wav,noise-free-sound-0614.wav
B15_471.wav,noise-free-sound-0308.wav
C13_609.wav,noise-free-sound-0344.wav
A14_103.wav,noise-free-sound-0295.wav
B8_464.wav,noise-free-sound-0596.wav
D31_813.wav,noise-free-sound-0664.wav
D7_882.wav,noise-free-sound-0313.wav
C32_554.wav,noise-free-sound-0242.wav
C17_531.wav,noise-free-sound-0264.wav
C23_584.wav,noise-free-sound-0069.wav
D21_854.wav,noise-free-sound-0733.wav
B15_370.wav,noise-free-sound-0423.wav
C22_625.wav,noise-free-sound-0328.wav
D7_825.wav,noise-free-sound-0221.wav
C4_531.wav,noise-free-sound-0144.wav
A13_54.wav,noise-free-sound-0637.wav
A32_156.wav,noise-free-sound-0559.wav
A7_112.wav,noise-free-sound-0761.wav
D31_801.wav,noise-free-sound-0279.wav
B6_271.wav,noise-free-sound-0082.wav
A23_185.wav,noise-free-sound-0328.wav
C12_715.wav,noise-free-sound-0673.wav
C2_520.wav,noise-free-sound-0008.wav
A11_84.wav,noise-free-sound-0022.wav
C19_619.wav,noise-free-sound-0486.wav
C6_679.wav,noise-free-sound-0782.wav
D32_980.wav,noise-free-sound-0588.wav
D31_961.wav,noise-free-sound-0242.wav
B33_299.wav,noise-free-sound-0153.wav
D4_784.wav,noise-free-sound-0238.wav
A32_205.wav,noise-free-sound-0204.wav
D12_794.wav,noise-free-sound-0304.wav
B6_444.wav,noise-free-sound-0757.wav
A23_64.wav,noise-free-sound-0472.wav
B32_445.wav,noise-free-sound-0249.wav
D4_862.wav,noise-free-sound-0280.wav
A8_150.wav,noise-free-sound-0496.wav
B15_495.wav,noise-free-sound-0586.wav
C18_563.wav,noise-free-sound-0166.wav
D8_829.wav,noise-free-sound-0415.wav
A32_99.wav,noise-free-sound-0315.wav
A8_112.wav,noise-free-sound-0420.wav
C19_706.wav,noise-free-sound-0109.wav
C4_688.wav,noise-free-sound-0068.wav
A6_176.wav,noise-free-sound-0163.wav
D21_899.wav,noise-free-sound-0385.wav
B33_429.wav,noise-free-sound-0584.wav
C17_611.wav,noise-free-sound-0545.wav
C21_534.wav,noise-free-sound-0722.wav
A32_141.wav,noise-free-sound-0484.wav
B2_356.wav,noise-free-sound-0618.wav
A7_20.wav,noise-free-sound-0003.wav
D4_774.wav,noise-free-sound-0842.wav
D8_944.wav,noise-free-sound-0275.wav
A32_108.wav,noise-free-sound-0351.wav
