speech,noise
C8_558.wav,B4_461.wav
C32_652.wav,B11_342.wav
A32_225.wav,C19_536.wav
C7_503.wav,C13_587.wav
D6_816.wav,B6_337.wav
C32_564.wav,B11_323.wav
C13_734.wav,C13_596.wav
C19_741.wav,D32_980.wav
D32_931.wav,C13_644.wav
D4_835.wav,A23_44.wav
B32_339.wav,D11_871.wav
B11_254.wav,A6_103.wav
A32_78.wav,B32_351.wav
D8_754.wav,D32_879.wav
C19_586.wav,C32_604.wav
A7_213.wav,B33_335.wav
B32_483.wav,C7_734.wav
B7_456.wav,B2_345.wav
A9_5.wav,D4_765.wav
B8_402.wav,A12_54.wav
C20_618.wav,A2_157.wav
C22_576.wav,B2_276.wav
A32_195.wav,A14_17.wav
B2_379.wav,D12_876.wav
B8_298.wav,A32_186.wav
A33_80.wav,D21_876.wav
A14_106.wav,A13_244.wav
B7_469.wav,C23_524.wav
C13_572.wav,A22_27.wav
C4_584.wav,D12_945.wav
D8_963.wav,D6_948.wav
B4_339.wav,A34_216.wav
A6_213.wav,C18_520.wav
A6_49.wav,B2_317.wav
A22_150.wav,C6_534.wav
A14_134.wav,C17_522.wav
B4_341.wav,A13_47.wav
A22_98.wav,A4_164.wav
B33_282.wav,B4_493.wav
C17_603.wav,D11_886.wav
A36_91.wav,A11_183.wav
A19_60.wav,C14_525.wav
C21_582.wav,C22_518.wav
A22_209.wav,C14_733.wav
A4_216.wav,B6_349.wav
C31_688.wav,D12_991.wav
C13_533.wav,C31_625.wav
A11_51.wav,D31_887.wav
D13_989.wav,C6_696.wav
D11_847.wav,A4_146.wav
D12_777.wav,B12_451.wav
C31_736.wav,C23_645.wav
A6_83.wav,C31_573.wav
A12_37.wav,C23_500.wav
A11_212.wav,A8_30.wav
B32_275.wav,C4_506.wav
C22_714.wav,D31_790.wav
A19_111.wav,B6_313.wav
C19_540.wav,B6_406.wav
B32_297.wav,C23_654.wav
D7_807.wav,D11_978.wav
A36_25.wav,A36_218.wav
C8_720.wav,C12_595.wav
C19_707.wav,D8_806.wav
A19_180.wav,A14_175.wav
B11_467.wav,B6_493.wav
A13_217.wav,C22_722.wav
A6_159.wav,A6_74.wav
C31_507.wav,C31_600.wav
A8_188.wav,B15_429.wav
C21_523.wav,A22_210.wav
C8_624.wav,A14_248.wav
B6_326.wav,C4_712.wav
C31_639.wav,C17_612.wav
A7_190.wav,C32_630.wav
B33_472.wav,B4_379.wav
D31_791.wav,D7_803.wav
A32_155.wav,A14_103.wav
A4_9.wav,A6_35.wav
B8_271.wav,C18_504.wav
B2_472.wav,A13_229.wav
A14_142.wav,D12_915.wav
C13_685.wav,B12_375.wav
A11_46.wav,C14_500.wav
C8_630.wav,B15_334.wav
D21_836.wav,D6_941.wav
C12_630.wav,D32_827.wav
C12_538.wav,C17_746.wav
A8_200.wav,D21_832.wav
D11_816.wav,A4_129.wav
A19_247.wav,B6_461.wav
A36_121.wav,D32_815.wav
A22_239.wav,D32_788.wav
C23_525.wav,B12_387.wav
C19_562.wav,B7_380.wav
C13_513.wav,A13_76.wav
C31_633.wav,D8_818.wav
C22_650.wav,C7_527.wav
B2_388.wav,C17_721.wav
C23_695.wav,D32_872.wav
