speech,noise
C8_558.wav,B4_461.wav
C32_652.wav,B11_342.wav
A32_225.wav,C19_536.wav
C7_503.wav,C13_587.wav
D6_816.wav,B6_337.wav
C32_564.wav,B11_323.wav
C13_734.wav,C13_596.wav
C19_741.wav,D32_980.wav
D32_931.wav,C13_644.wav
D4_835.wav,A23_44.wav
B32_339.wav,D11_871.wav
B11_254.wav,A6_103.wav
A32_78.wav,B32_351.wav
C31_748.wav,A32_56.wav
D8_931.wav,C8_601.wav
C21_566.wav,B32_395.wav
C21_519.wav,C12_615.wav
C4_580.wav,D11_877.wav
D13_915.wav,B2_280.wav
D12_885.wav,A4_88.wav
A19_69.wav,C32_697.wav
B7_430.wav,B6_413.wav
A19_65.wav,A2_77.wav
D31_905.wav,D31_859.wav
D12_841.wav,B6_414.wav
B4_465.wav,D21_959.wav
A32_178.wav,D8_917.wav
C12_553.wav,C23_737.wav
D7_998.wav,B22_393.wav
D12_956.wav,A11_176.wav
B8_357.wav,A7_246.wav
A33_58.wav,A19_115.wav
A36_126.wav,A7_129.wav
C32_543.wav,C32_588.wav
B6_320.wav,C12_683.wav
C32_537.wav,B11_425.wav
C13_744.wav,C6_655.wav
C31_606.wav,A11_225.wav
C22_525.wav,A34_130.wav
A6_102.wav,C21_525.wav
D4_935.wav,B33_387.wav
B22_366.wav,B4_445.wav
D7_932.wav,D8_859.wav
B2_481.wav,D31_857.wav
D21_911.wav,C32_708.wav
C23_600.wav,D32_975.wav
B8_434.wav,B33_449.wav
A22_17.wav,D7_792.wav
A2_111.wav,A4_159.wav
D21_942.wav,B11_347.wav
A12_8.wav,A36_135.wav
D4_802.wav,D12_756.wav
B8_361.wav,C20_733.wav
C6_744.wav,D4_950.wav
C12_615.wav,D7_942.wav
B8_304.wav,C17_629.wav
D11_791.wav,D11_966.wav
B33_385.wav,C13_662.wav
B7_331.wav,A8_120.wav
A36_48.wav,B31_281.wav
C8_537.wav,A36_57.wav
C17_720.wav,D31_830.wav
A12_56.wav,C22_579.wav
D4_995.wav,B31_391.wav
A36_94.wav,A22_168.wav
A2_95.wav,A36_160.wav
C18_685.wav,C13_665.wav
A6_58.wav,A36_226.wav
C13_518.wav,A34_108.wav
B7_452.wav,B22_252.wav
B6_406.wav,D6_862.wav
C13_713.wav,B6_309.wav
C23_741.wav,C18_671.wav
B8_373.wav,B15_447.wav
D13_953.wav,B32_350.wav
B8_436.wav,C6_527.wav
D4_883.wav,A12_4.wav
A13_247.wav,D4_761.wav
C31_607.wav,B6_484.wav
C14_606.wav,B31_341.wav
B11_290.wav,C20_644.wav
D7_809.wav,D4_914.wav
A36_237.wav,B2_309.wav
B15_455.wav,C31_715.wav
C21_508.wav,A12_79.wav
C22_540.wav,C12_668.wav
B12_471.wav,C17_686.wav
C17_670.wav,C18_599.wav
A32_199.wav,B22_329.wav
A2_37.wav,D4_939.wav
A2_16.wav,C21_613.wav
D21_918.wav,B11_271.wav
D13_849.wav,A11_97.wav
A8_14.wav,C31_713.wav
B4_417.wav,C32_583.wav
C13_572.wav,C19_524.wav
C21_545.wav,D8_872.wav
C4_580.wav,D12_763.wav
C21_626.wav,B32_388.wav
B2_450.wav,A11_183.wav
D13_876.wav,D11_832.wav
C12_507.wav,C4_749.wav
C21_715.wav,C6_602.wav
C12_643.wav,C8_735.wav
A8_104.wav,C31_664.wav
C13_720.wav,C14_594.wav
B2_360.wav,A34_200.wav
C18_541.wav,C18_699.wav
C32_714.wav,A23_234.wav
C21_685.wav,B4_280.wav
A36_207.wav,D31_899.wav
B33_365.wav,A32_206.wav
B8_425.wav,B33_268.wav
C18_604.wav,C31_503.wav
A13_42.wav,A11_0.wav
B4_316.wav,D11_913.wav
B32_263.wav,C12_682.wav
C12_691.wav,C12_642.wav
A35_5.wav,B11_426.wav
A23_158.wav,C21_535.wav
B31_476.wav,B33_376.wav
D31_926.wav,B22_328.wav
A13_176.wav,D7_854.wav
B33_381.wav,D7_805.wav
B11_397.wav,D11_770.wav
A7_10.wav,C31_517.wav
D11_855.wav,A7_18.wav
A14_89.wav,B31_382.wav
C32_705.wav,C7_650.wav
B6_393.wav,B11_481.wav
C19_591.wav,A7_180.wav
C2_579.wav,A23_166.wav
B33_351.wav,B33_295.wav
B8_466.wav,D31_870.wav
B4_406.wav,A7_168.wav
D4_853.wav,A4_5.wav
C20_731.wav,A8_108.wav
A11_217.wav,A34_149.wav
B6_486.wav,C32_644.wav
C8_722.wav,C17_744.wav
D12_772.wav,C19_511.wav
B2_425.wav,D8_976.wav
B22_423.wav,C12_698.wav
B33_383.wav,C4_747.wav
A32_187.wav,D8_948.wav
C14_523.wav,A14_176.wav
B22_435.wav,C23_669.wav
C12_676.wav,B15_286.wav
D11_756.wav,D21_911.wav
A11_98.wav,A2_186.wav
B32_446.wav,C22_503.wav
D21_932.wav,A12_62.wav
A14_162.wav,C4_690.wav
A4_50.wav,A19_248.wav
A22_36.wav,A33_25.wav
A35_6.wav,C20_517.wav
C21_644.wav,B4_395.wav
C32_549.wav,D7_977.wav
A22_225.wav,A6_35.wav
A2_174.wav,A34_124.wav
C14_585.wav,D6_777.wav
D11_900.wav,B2_354.wav
D11_913.wav,D21_848.wav
D4_843.wav,B7_290.wav
C12_721.wav,A2_35.wav
D13_778.wav,D32_881.wav
D31_940.wav,B2_344.wav
C13_686.wav,C21_569.wav
C4_697.wav,C32_636.wav
B7_328.wav,A6_156.wav
D6_992.wav,C22_746.wav
C21_510.wav,C21_512.wav
A23_104.wav,A34_70.wav
B6_326.wav,A34_150.wav
A6_132.wav,C7_747.wav
C6_652.wav,C19_583.wav
A14_110.wav,B15_365.wav
D6_828.wav,C20_520.wav
D11_895.wav,A32_110.wav
A19_59.wav,A34_128.wav
A2_63.wav,A19_56.wav
C20_623.wav,A4_6.wav
A4_51.wav,C18_653.wav
B31_494.wav,D31_982.wav
C21_527.wav,C19_555.wav
D4_803.wav,C23_651.wav
A14_132.wav,A19_238.wav
C13_633.wav,C13_675.wav
C12_674.wav,A13_56.wav
C18_622.wav,B15_426.wav
A6_233.wav,A34_27.wav
B6_394.wav,B7_342.wav
A34_133.wav,C23_714.wav
C31_572.wav,A4_229.wav
A6_181.wav,B4_265.wav
A13_213.wav,A19_114.wav
A7_52.wav,B2_401.wav
C2_572.wav,D31_764.wav
B6_370.wav,A36_31.wav
C21_535.wav,C4_665.wav
C7_574.wav,C23_581.wav
D8_769.wav,B7_435.wav
A13_166.wav,C21_553.wav
D31_975.wav,D7_905.wav
D12_973.wav,C19_606.wav
C32_536.wav,B32_460.wav
A34_193.wav,C21_714.wav
B8_414.wav,C23_645.wav
C22_516.wav,C6_738.wav
C32_659.wav,C7_592.wav
B32_285.wav,C12_515.wav
C20_634.wav,D13_984.wav
B32_486.wav,C23_500.wav
D6_864.wav,C20_594.wav
B22_441.wav,C12_555.wav
B6_396.wav,C31_728.wav
C21_598.wav,A8_108.wav
A23_128.wav,B33_442.wav
C19_609.wav,C22_607.wav
C8_746.wav,A22_18.wav
B22_310.wav,C7_627.wav
D8_877.wav,C14_645.wav
A36_56.wav,C21_632.wav
C13_564.wav,A8_13.wav
D11_832.wav,D21_808.wav
D12_752.wav,B32_448.wav
C6_544.wav,C2_509.wav
A14_119.wav,C23_581.wav
D7_925.wav,A7_72.wav
C12_506.wav,B2_403.wav
C17_673.wav,A4_159.wav
D31_919.wav,A19_205.wav
A14_26.wav,B33_478.wav
A22_200.wav,D4_792.wav
D11_993.wav,B4_491.wav
A36_149.wav,B32_449.wav
D32_979.wav,B15_424.wav
A32_247.wav,D4_849.wav
A2_84.wav,C21_673.wav
B7_318.wav,A6_132.wav
D4_772.wav,D11_884.wav
B11_491.wav,A6_187.wav
D21_804.wav,C22_575.wav
B31_281.wav,C22_627.wav
D8_926.wav,B12_262.wav
B31_436.wav,B11_309.wav
A8_131.wav,B12_493.wav
A36_170.wav,A11_71.wav
C32_605.wav,C19_657.wav
C32_726.wav,D31_824.wav
A6_52.wav,C17_561.wav
A12_44.wav,B33_262.wav
B8_266.wav,D13_923.wav
A8_164.wav,D8_989.wav
B32_421.wav,B2_346.wav
B11_327.wav,A7_192.wav
A6_154.wav,C22_675.wav
B22_276.wav,C7_631.wav
B22_458.wav,B12_409.wav
C20_516.wav,C2_518.wav
A14_33.wav,C7_573.wav
D12_963.wav,C20_582.wav
C14_619.wav,B22_377.wav
C19_667.wav,A23_118.wav
A23_167.wav,A13_164.wav
A14_43.wav,B7_494.wav
A14_231.wav,C31_518.wav
D12_751.wav,C21_714.wav
B6_463.wav,B33_309.wav
A11_204.wav,B22_347.wav
C2_521.wav,A13_96.wav
C8_518.wav,A4_115.wav
C20_636.wav,B4_324.wav
D13_806.wav,C32_567.wav
B11_426.wav,B33_279.wav
C19_632.wav,C7_538.wav
C32_596.wav,C22_704.wav
C7_569.wav,C23_663.wav
D8_973.wav,C20_658.wav
B31_380.wav,A22_17.wav
B4_335.wav,A2_62.wav
D31_993.wav,C23_600.wav
B2_408.wav,B22_497.wav
B22_292.wav,B8_294.wav
C17_715.wav,B32_420.wav
B15_474.wav,A2_71.wav
A7_220.wav,A23_155.wav
D6_833.wav,B6_315.wav
C6_663.wav,C13_619.wav
C8_675.wav,B31_365.wav
D8_887.wav,D8_885.wav
B12_273.wav,C19_599.wav
D31_878.wav,C19_523.wav
D32_874.wav,C21_594.wav
B22_338.wav,C20_542.wav
C23_656.wav,B8_377.wav
C17_513.wav,B33_432.wav
A34_122.wav,D31_844.wav
D8_954.wav,B12_497.wav
B6_462.wav,C17_601.wav
A23_137.wav,A12_101.wav
D7_783.wav,C8_658.wav
C12_530.wav,B12_389.wav
C20_705.wav,A6_72.wav
C18_593.wav,C20_581.wav
C8_615.wav,D32_848.wav
C31_607.wav,A34_61.wav
B15_360.wav,C6_673.wav
D32_839.wav,C21_532.wav
A8_4.wav,C12_531.wav
C32_674.wav,C21_595.wav
B4_251.wav,A11_178.wav
A4_38.wav,B6_381.wav
C18_712.wav,C22_572.wav
A19_217.wav,D8_860.wav
D8_985.wav,C22_744.wav
C13_732.wav,A2_51.wav
A19_96.wav,B33_303.wav
D31_796.wav,C22_604.wav
A11_226.wav,C32_625.wav
A23_178.wav,B7_324.wav
D11_999.wav,B12_335.wav
B12_493.wav,A8_75.wav
B4_317.wav,C20_748.wav
D6_894.wav,A33_88.wav
A34_218.wav,C21_659.wav
D12_978.wav,D11_821.wav
A23_70.wav,B6_461.wav
B32_271.wav,D11_868.wav
C32_638.wav,C2_517.wav
D11_823.wav,A19_98.wav
B2_355.wav,C21_621.wav
D21_757.wav,B7_487.wav
C12_522.wav,B12_299.wav
A13_130.wav,B4_478.wav
B6_284.wav,C4_684.wav
C14_509.wav,C20_724.wav
C2_546.wav,B6_380.wav
B31_355.wav,C17_527.wav
C17_706.wav,B6_328.wav
D13_983.wav,A7_29.wav
A9_2.wav,A8_144.wav
A7_219.wav,B7_354.wav
C23_505.wav,C4_743.wav
D7_968.wav,B31_364.wav
A12_86.wav,D11_823.wav
B22_385.wav,C31_567.wav
A32_212.wav,A23_79.wav
B6_327.wav,C20_653.wav
D4_970.wav,C7_647.wav
A36_184.wav,B22_365.wav
C31_606.wav,A8_9.wav
D4_968.wav,A13_30.wav
D11_787.wav,C32_622.wav
C19_621.wav,C6_648.wav
D21_810.wav,B22_492.wav
C23_511.wav,B2_294.wav
A19_97.wav,C23_729.wav
C19_704.wav,C2_532.wav
C17_725.wav,C6_710.wav
A6_78.wav,C14_517.wav
C31_656.wav,D6_973.wav
C8_688.wav,A13_44.wav
C6_712.wav,A12_76.wav
C22_735.wav,C8_690.wav
C32_740.wav,C7_691.wav
B11_321.wav,C22_520.wav
B7_254.wav,A36_116.wav
D6_823.wav,D32_838.wav
C32_667.wav,B15_468.wav
C23_569.wav,B7_276.wav
A19_76.wav,C17_684.wav
C32_629.wav,C12_678.wav
B7_398.wav,A12_3.wav
C13_655.wav,D32_919.wav
A13_178.wav,A7_217.wav
B2_285.wav,A33_79.wav
D13_774.wav,C14_562.wav
C12_726.wav,B2_425.wav
B32_488.wav,D7_924.wav
B8_463.wav,B32_486.wav
A23_123.wav,C21_708.wav
C19_510.wav,C23_652.wav
B32_306.wav,A12_16.wav
C6_589.wav,D7_830.wav
C23_700.wav,B31_373.wav
D8_846.wav,C8_579.wav
A36_200.wav,C17_512.wav
C18_626.wav,B22_426.wav
B32_477.wav,A9_3.wav
C19_674.wav,B22_338.wav
B7_438.wav,C21_649.wav
B2_304.wav,C8_685.wav
A23_220.wav,B2_418.wav
B2_331.wav,C14_518.wav
C8_596.wav,D21_984.wav
B15_392.wav,B8_423.wav
C18_658.wav,D8_974.wav
A32_155.wav,A9_5.wav
D6_941.wav,B7_268.wav
B12_251.wav,D21_752.wav
D13_868.wav,A7_187.wav
C17_595.wav,C20_517.wav
A12_70.wav,B22_370.wav
B15_331.wav,A4_230.wav
C17_582.wav,C23_688.wav
A33_90.wav,A22_218.wav
A11_242.wav,C8_591.wav
D11_949.wav,C13_727.wav
A19_221.wav,B31_482.wav
B32_448.wav,A19_173.wav
A19_196.wav,C23_707.wav
C6_519.wav,D12_915.wav
C12_660.wav,A33_107.wav
C20_672.wav,D13_833.wav
D7_981.wav,D8_934.wav
D31_843.wav,A6_40.wav
B31_347.wav,C22_560.wav
C17_583.wav,B6_261.wav
C32_630.wav,C31_629.wav
D21_875.wav,C17_524.wav
C12_512.wav,D31_925.wav
D11_791.wav,D8_788.wav
B4_499.wav,D8_816.wav
C14_544.wav,C4_599.wav
D6_938.wav,A34_224.wav
B31_443.wav,A7_161.wav
C12_607.wav,C8_597.wav
D7_767.wav,D4_878.wav
B11_351.wav,A36_209.wav
C19_580.wav,D12_916.wav
A32_168.wav,A23_48.wav
A22_212.wav,B4_299.wav
A13_153.wav,A32_171.wav
C22_599.wav,A14_149.wav
C18_610.wav,A33_59.wav
C14_518.wav,A2_39.wav
D7_770.wav,C21_626.wav
A23_88.wav,D31_996.wav
D21_853.wav,B8_337.wav
C21_640.wav,D12_785.wav
B4_317.wav,C32_600.wav
B4_491.wav,A13_148.wav
C4_536.wav,A2_2.wav
C6_678.wav,D21_968.wav
B2_420.wav,C31_569.wav
B12_401.wav,A34_243.wav
C6_674.wav,C17_637.wav
A34_182.wav,B31_448.wav
C20_734.wav,B4_289.wav
C12_600.wav,B15_409.wav
B4_298.wav,D8_960.wav
B6_442.wav,B12_261.wav
A34_200.wav,B32_447.wav
B2_476.wav,A8_232.wav
D6_782.wav,B15_396.wav
B33_344.wav,A14_116.wav
C13_643.wav,B4_408.wav
D21_893.wav,D21_805.wav
D13_837.wav,C20_529.wav
D32_915.wav,A35_3.wav
B11_268.wav,D4_917.wav
